h,S1245x,S1245y,S1245z,S1346x,S1346y,S1346z,S2356x,S2356y,S2356z,SAx,SAy,SAz,SBx,SBy,SBz,SCx,SCy,SCz
0.631578947368421,-1.0237644798710287e-16,1.2190165133884395e-16,-3.426078865054569e-17,-7.85316423200044e-16,-1.0947836218392108e-15,-6.591949208711768e-17,8.87692871187148e-16,9.728819705003683e-16,1.3487475025720139e-16,5.888211299665008e-16,-2.6623775311695097e-15,0.999999999999999,1.0168808962155569e-15,-1.4036764496373975e-15,0.999999999999999,-1.0764113284732171e-15,-4.612766660494044e-15,0.999999999999999
0.6616541353383458,-3.356188462516454e-16,-2.1578608049317613e-16,4.1890861439408515e-16,-1.2336589186925944e-15,-1.793010115659544e-15,-9.432558900623992e-17,1.5692777649442397e-15,2.00879619615272e-15,-2.1356072292533367e-16,-2.299748157061549e-17,-1.5013171867798306e-16,1.0000000000000002,1.2035057838513756e-15,1.6509613865570859e-15,1.0000000000000002,-1.317069050424728e-15,-1.463718990438862e-15,1.0000000000000002
0.6917293233082706,3.2025519046813716e-17,2.880949510228029e-16,-2.714842239903778e-16,-8.101251569972742e-16,-1.1190642531280093e-15,-3.070460552478996e-16,7.780996379504601e-16,8.309693021052062e-16,2.1076890233117693e-16,3.7028965546178425e-16,2.617513138961362e-16,1.0000000000000004,1.7993644062749607e-15,2.5901890241797146e-15,1.0000000000000004,-2.2132855716860527e-15,-2.895109186031734e-15,1.0000000000000004
0.7218045112781954,-3.488235165785981e-16,-1.7243898041996616e-16,2.1684043449696382e-17,-1.2890610160452207e-15,-2.000327738100121e-15,-4.733165431326071e-30,1.6378845326238171e-15,2.1727667185200885e-15,-1.4745149545807298e-17,-1.3056694174369023e-16,-2.9877563060450997e-16,1.0000000000000004,1.0457579070107929e-15,1.523155884044596e-15,1.0000000000000004,-1.1055373000014842e-15,-1.1469594433458968e-15,1.0000000000000004
0.7518796992481203,-6.446463835042563e-16,-1.1793203517625473e-15,1.1251308044968135e-16,-7.756135406022087e-16,-2.2408432068066675e-16,-7.75204553327254e-18,1.4202599241064643e-15,1.4034046724432135e-15,2.276553511676427e-16,4.230466280285018e-16,1.5765879342158318e-16,0.9999999999999998,1.7116212281031916e-15,2.6585457071416593e-15,0.9999999999999998,-2.1993264584391267e-15,-2.8892045835336524e-15,0.9999999999999998
0.7819548872180451,-3.4445471348557007e-16,-2.1595915836277531e-16,-5.030698080332997e-17,-8.268145066384234e-16,-1.3294410433424943e-15,-1.2143064331837748e-16,1.1712692201239947e-15,1.5454002017052707e-15,-1.1622647289044726e-16,8.502664855785848e-16,1.5278578439457106e-15,1.0000000000000007,1.0735080864702591e-15,1.7641878298950973e-16,1.0000000000000007,-1.8446869719125847e-15,-1.7854289854328465e-15,1.0000000000000007
0.8120300751879699,-1.3804869331117966e-15,-1.386499489802178e-15,1.8171228410856916e-16,-4.438045452233003e-16,-1.1258322668308647e-16,1.942890293094018e-16,1.824291478335097e-15,1.4990827164852644e-15,-2.2508037100799136e-16,4.2435496440180833e-16,2.488652724392817e-16,1.0,9.9600252437677e-16,1.6372512540248505e-15,1.0,-1.4000544164239972e-15,-1.9058034966306967e-15,1.0
0.8421052631578947,-2.0467618230215502e-16,-2.4995314424733004e-16,2.493664996716522e-17,-7.481890555384105e-16,-1.1979328055299301e-15,7.546047120499111e-17,9.528652378405654e-16,1.44788594977726e-15,-1.1080546202801895e-16,1.6366518979028704e-15,1.5513722681690824e-15,1.0000000000000009,5.941055817803315e-16,1.4513541638378555e-16,1.0000000000000009,-2.0580723322423698e-15,-1.8638900435781303e-15,1.0000000000000009
0.8721804511278195,-6.311699337528163e-16,-7.791055796683076e-16,-5.862823247715385e-17,-2.7464754941184383e-16,-7.452083822349601e-17,-1.7509865085640936e-16,9.058174831646603e-16,8.53626417891804e-16,4.549041265206049e-16,1.219371331427605e-16,2.467923097603555e-16,1.0,8.465425082326223e-16,1.3786311421729139e-15,1.0,-1.0867869961611975e-15,-1.6658744694327721e-15,1.0
0.9022556390977443,-6.6449040355007425e-18,-1.1718058233909235e-16,-1.517883041479716e-16,-6.387312476425984e-16,-8.648608675926835e-16,-1.4571677198205239e-16,6.453761516780994e-16,9.82041449931776e-16,1.0321604682061923e-16,-2.9205096517532597e-16,8.034055791820595e-16,0.9999999999999999,2.447484771637322e-16,9.189913993541711e-17,0.9999999999999999,-1.0098147698397416e-15,-9.126836497236981e-16,0.9999999999999999
0.9323308270676691,-1.197381858174561e-18,-5.236686457039278e-16,-1.109625469350662e-16,-4.7222715489180635e-16,-4.6227537020756364e-17,2.0121251780158015e-16,4.734245367499808e-16,5.698961827246845e-16,2.1506189030099239e-16,4.776945780297247e-17,9.676339887737474e-17,0.9999999999999997,6.90216842598864e-16,9.274127633102932e-16,0.9999999999999997,-6.604606718552636e-16,-1.0239358669465448e-15,0.9999999999999997
0.9624060150375939,-2.441293081871505e-18,-1.718918224851828e-17,-1.6249480060126867e-17,-4.974195992360874e-16,-7.726312874546685e-16,-3.279711571768653e-16,4.998608923179589e-16,7.89820469703187e-16,8.314475410248192e-17,3.613053578033226e-17,5.415978797400657e-16,0.9999999999999996,4.844297868419226e-16,4.2620945826781935e-17,0.9999999999999996,-4.882042878798777e-16,-5.873490617241992e-16,0.9999999999999996
0.9924812030075187,6.533439448508876e-17,-2.7307483852732536e-16,-9.88792381306783e-17,-2.661454225470742e-16,-9.086950217756467e-17,1.830133267155528e-16,2.008110280619856e-16,3.6394434070489007e-16,-9.454242944073643e-17,1.4663310378585453e-16,2.3354330070945357e-16,0.9999999999999998,5.056341603195363e-16,7.825381147679281e-16,0.9999999999999998,-4.52417119691588e-16,-8.07684933949867e-16,0.9999999999999998
1.0225563909774436,1.2857695546011724e-17,-1.2829354076614838e-16,1.1015494072451137e-16,-1.7364330233285176e-16,-1.3800401981699323e-16,-1.7347234759769126e-16,1.6078560678683986e-16,2.6629756058314265e-16,1.0495077029658638e-16,-4.123670702709647e-15,4.3752616620560434e-15,1.0000000000000013,2.1064533315537596e-16,1.7312694682615297e-16,1.0000000000000013,-1.9251964593292156e-16,-3.7353029067302223e-16,1.0000000000000013
